old_fqn,new_fqn,reason
layout::tests::trailing_line_break_defers_and_evaporates,layout::wrap_tests::trailing_line_break_defers_and_evaporates,theme_split
layout::tests::trailing_pending_newline_does_not_trigger_overflow,layout::visible_window_tests::trailing_pending_newline_does_not_trigger_overflow,theme_split
layout::tests::vertical_line_break_feeds_column_axis,layout::wrap_tests::vertical_line_break_feeds_column_axis,theme_split
layout::tests::vertical_lr_mirrors_rl_inline_layout_and_feeds_rightward,layout::wrap_tests::vertical_lr_mirrors_rl_inline_layout_and_feeds_rightward,theme_split
layout::tests::vertical_lr_overflow_scrolls_content_leftward,layout::visible_window_tests::vertical_lr_overflow_scrolls_content_leftward,theme_split
layout::tests::vertical_rl_overflow_scrolls_content_rightward,layout::visible_window_tests::vertical_rl_overflow_scrolls_content_rightward,theme_split
layout::tests::vertical_rl_wraps_on_y_threshold_and_feeds_leftward,layout::wrap_tests::vertical_rl_wraps_on_y_threshold_and_feeds_leftward,theme_split
layout::tests::visible_count_gates_placed_glyphs,layout::wrap_tests::visible_count_gates_placed_glyphs,theme_split
layout::tests::visible_window_same_input_yields_identical_output,layout::visible_window_tests::visible_window_same_input_yields_identical_output,theme_split
layout::tests::wrapped_lines_return_to_start_inline_component,layout::wrap_tests::wrapped_lines_return_to_start_inline_component,theme_split
viewbox::tests::axis_mapping_end_to_end_across_three_writing_modes,viewbox::plan_commit_tests::axis_mapping_end_to_end_across_three_writing_modes,theme_split
viewbox::tests::back_is_fully_covered_across_modes_and_scenarios,viewbox::plan_commit_tests::back_is_fully_covered_across_modes_and_scenarios,theme_split
viewbox::tests::back_is_fully_covered_by_blit_and_dirty_horizontal,viewbox::dirty_tests::back_is_fully_covered_by_blit_and_dirty_horizontal,theme_split
viewbox::tests::blit_vector_maps_target_committed_to_block_axis,viewbox::axis_tests::blit_vector_maps_target_committed_to_block_axis,theme_split
viewbox::tests::block_axis_vector_passes_sign_through_on_selected_axis,viewbox::axis_tests::block_axis_vector_passes_sign_through_on_selected_axis,theme_split
viewbox::tests::block_offset_maps_to_expected_axis_and_sign_per_writing_mode,viewbox::axis_tests::block_offset_maps_to_expected_axis_and_sign_per_writing_mode,theme_split
viewbox::tests::catchup_and_new_lines_union_of_changed_lines,viewbox::dirty_tests::catchup_and_new_lines_union_of_changed_lines,theme_split
viewbox::tests::choice_marker_hover_clear_derive_dirty_matches_only_the_cleared_line,viewbox::choice_marker_tests::choice_marker_hover_clear_derive_dirty_matches_only_the_cleared_line,theme_split
viewbox::tests::choice_marker_hover_set_derive_dirty_matches_only_the_set_line,viewbox::choice_marker_tests::choice_marker_hover_set_derive_dirty_matches_only_the_set_line,theme_split
viewbox::tests::choice_marker_hover_switch_derive_dirty_matches_only_the_two_switched_lines,viewbox::choice_marker_tests::choice_marker_hover_switch_derive_dirty_matches_only_the_two_switched_lines,theme_split
viewbox::tests::choice_marker_hover_switch_dirties_only_two_changed_lines,viewbox::choice_marker_tests::choice_marker_hover_switch_dirties_only_two_changed_lines,theme_split
viewbox::tests::commit_makes_next_identical_plan_no_change,viewbox::plan_commit_tests::commit_makes_next_identical_plan_no_change,theme_split
viewbox::tests::commit_of_scroll_update_advances_committed,viewbox::plan_commit_tests::commit_of_scroll_update_advances_committed,theme_split
viewbox::tests::committed_lines_are_scroll_independent,viewbox::dirty_tests::committed_lines_are_scroll_independent,theme_split
viewbox::tests::confirmed_line_is_excluded_from_dirty_and_draw,viewbox::dirty_tests::confirmed_line_is_excluded_from_dirty_and_draw,theme_split
viewbox::tests::dirty_guard_is_one_image_px,viewbox::dirty_tests::dirty_guard_is_one_image_px,theme_split
viewbox::tests::empty_prev_is_full_domain,viewbox::dirty_tests::empty_prev_is_full_domain,theme_split
viewbox::tests::forward_line_growth_stays_incremental,viewbox::dirty_tests::forward_line_growth_stays_incremental,theme_split
viewbox::tests::long_scroll_horizontal_nonunit_scale_is_drift_free,viewbox::plan_commit_tests::long_scroll_horizontal_nonunit_scale_is_drift_free,theme_split
viewbox::tests::long_scroll_horizontal_unit_scale_keeps_committed_equal_to_pos,viewbox::plan_commit_tests::long_scroll_horizontal_unit_scale_keeps_committed_equal_to_pos,theme_split
viewbox::tests::long_scroll_vertical_rl_nonunit_scale_is_drift_free,viewbox::plan_commit_tests::long_scroll_vertical_rl_nonunit_scale_is_drift_free,theme_split
viewbox::tests::new_planner_scroll_state_is_zero,viewbox::axis_tests::new_planner_scroll_state_is_zero,theme_split
