"original","base_commit","relocated_count","relocated","exit_code","verdict"
"crates/areka-kanade/src/actor.rs","7c57594","1","crates/areka-kanade/src/actor_tests.rs","0","MATCH: test fn 22=22 / helper item 10=10 / mod block 1 / files 1"
"crates/areka-kanade/src/schedule/boot.rs","7c57594","3","crates/areka-kanade/src/schedule/boot_reply_branch_tests.rs,crates/areka-kanade/src/schedule/boot_sequence_tests.rs,crates/areka-kanade/src/schedule/boot_test_support.rs","0","MATCH: test fn 20=20 / helper item 13=13 / mod block 1 / files 3"
"crates/areka-kanade/src/schedule/events.rs","7c57594","1","crates/areka-kanade/src/schedule/events_tests.rs","0","MATCH: test fn 28=28 / helper item 6=6 / mod block 1 / files 1"
"crates/areka-kanade/src/schedule/mod.rs","7c57594","2","crates/areka-kanade/src/schedule/schedule_log_firing_tests.rs,crates/areka-kanade/src/schedule/schedule_tests.rs","0","MATCH: test fn 66=66 / helper item 16=16 / mod block 2 / files 2"
"crates/areka-kanade/src/schedule/steady.rs","7c57594","4","crates/areka-kanade/src/schedule/steady_choice_tests.rs,crates/areka-kanade/src/schedule/steady_choice_timeout_tests.rs,crates/areka-kanade/src/schedule/steady_flow_tests.rs,crates/areka-kanade/src/schedule/steady_test_support.rs","0","MATCH: test fn 68=68 / helper item 17=17 / mod block 1 / files 4"
"crates/areka-kanade/src/shiori/real.rs","7c57594","1","crates/areka-kanade/src/shiori/real_tests.rs","0","MATCH: test fn 17=17 / helper item 14=14 / mod block 1 / files 1"
"crates/areka-sakura/src/compile.rs","2048941","3","crates/areka-sakura/src/compile_arm_tests.rs,crates/areka-sakura/src/compile_sheet_tests.rs,crates/areka-sakura/src/compile_test_support.rs","0","MATCH: test fn 43=43 / helper item 7=7 / mod block 1 / files 3"
"crates/areka-sakura/src/drive.rs","2048941","4","crates/areka-sakura/src/drive_choice_tests.rs,crates/areka-sakura/src/drive_delivery_tests.rs,crates/areka-sakura/src/drive_lifecycle_tests.rs,crates/areka-sakura/src/drive_test_support.rs","0","MATCH: test fn 32=32 / helper item 17=17 / mod block 1 / files 4"
"crates/areka-seriko/src/actor.rs","1021ccf","3","crates/areka-seriko/src/actor_bind_loop_tests.rs,crates/areka-seriko/src/actor_dispatch_tests.rs,crates/areka-seriko/src/actor_test_support.rs","0","MATCH: test fn 34=34 / helper item 24=24 / mod block 1 / files 3"
"crates/areka-seriko/src/looper.rs","1021ccf","1","crates/areka-seriko/src/looper_tests.rs","0","MATCH: test fn 18=18 / helper item 12=12 / mod block 1 / files 1"
"crates/areka-seriko/src/state.rs","1021ccf","3","crates/areka-seriko/src/state_bind_pattern_tests.rs,crates/areka-seriko/src/state_surface_tests.rs,crates/areka-seriko/src/state_test_support.rs","0","MATCH: test fn 45=45 / helper item 3=3 / mod block 1 / files 3"
"crates/areka-sylphya/src/actor.rs","bfbdfb5","3","crates/areka-sylphya/src/actor_actor_criteria_cage.rs,crates/areka-sylphya/src/actor_actor_integration_tests.rs,crates/areka-sylphya/src/actor_tests.rs","0","MATCH: test fn 34=34 / helper item 13=13 / mod block 3 / files 3"
"crates/areka/src/emo2_boot/assets.rs","425b914","1","crates/areka/src/emo2_boot/assets_tests.rs","0","MATCH: test fn 19=19 / helper item 4=4 / mod block 1 / files 1"
"crates/areka/src/emo2_boot/frame.rs","2470ccb","9","crates/areka/src/emo2_boot/frame_attach_tests.rs,crates/areka/src/emo2_boot/frame_diag_route_tests.rs,crates/areka/src/emo2_boot/frame_dpi_reproject_none_tests.rs,crates/areka/src/emo2_boot/frame_dpi_reproject_tests.rs,crates/areka/src/emo2_boot/frame_dpi_tests.rs,crates/areka/src/emo2_boot/frame_drain_text_tests.rs,crates/areka/src/emo2_boot/frame_resnap_tests.rs,crates/areka/src/emo2_boot/frame_test_support.rs,crates/areka/src/emo2_boot/frame_text_scale_tests.rs","0","MATCH: test fn 56=56 / helper item 56=56 / mod block 1 / files 9"
"crates/areka/src/emo2_boot/move_cue.rs","425b914","4","crates/areka/src/emo2_boot/move_cue_apply_move_tests.rs,crates/areka/src/emo2_boot/move_cue_move_severity_log_tests.rs,crates/areka/src/emo2_boot/move_cue_move_sink_tests.rs,crates/areka/src/emo2_boot/move_cue_tests.rs","0","MATCH: test fn 32=32 / helper item 15=15 / mod block 4 / files 4"
"crates/areka/src/input_events/balloon.rs","7d4c40a","6","crates/areka/src/input_events/balloon_leave_tests.rs,crates/areka/src/input_events/balloon_pass_through_tests.rs,crates/areka/src/input_events/balloon_pointer_handler_tests.rs,crates/areka/src/input_events/balloon_pure_core_tests.rs,crates/areka/src/input_events/balloon_test_support.rs,crates/areka/src/input_events/balloon_wiring_tests.rs","0","MATCH: test fn 52=52 / helper item 27=27 / mod block 1 / files 6"
"crates/areka/src/input_events/mod.rs","425b914","1","crates/areka/src/input_events/input_events_tests.rs","0","MATCH: test fn 20=20 / helper item 4=4 / mod block 1 / files 1"
"crates/areka/src/main.rs","425b914","7","crates/areka/src/main_config_input_tests.rs,crates/areka/src/main_ghost_wiring_tests.rs,crates/areka/src/main_monitor_snapshot_seam_tests.rs,crates/areka/src/main_persist_wiring_seam_tests.rs,crates/areka/src/main_restore_seam_tests.rs,crates/areka/src/main_seam_tests.rs,crates/areka/src/main_startup_window_tests.rs","0","MATCH: test fn 32=32 / helper item 10=10 / mod block 7 / files 7"
