"path","crate","area","total_lines","test_lines","body_lines","module_count","decl_count","nonmod_count","inline_attr","loose_cfg","modules","declarations","nonmod_lines"
"crates/areka-actor/src/lib.rs","areka-actor","src","94","0","94","0","0","0","0","0","","",""
"crates/areka-actor/src/reply.rs","areka-actor","src","156","75","81","1","0","0","0","0","tests:82-156(75)","",""
"crates/areka-actor/src/spawn.rs","areka-actor","src","298","132","166","1","0","0","0","0","tests:167-298(132)","",""
"crates/areka-actor/src/ui.rs","areka-actor","src","248","63","185","1","0","0","0","0","tests:186-248(63)","",""
"crates/areka-actor/tests/spike_ui_pump.rs","areka-actor","tests","173","0","173","0","0","0","0","0","","",""
"crates/areka-actor/tests/toy_ui_pump_test.rs","areka-actor","tests","195","0","195","0","0","0","0","0","","",""
"crates/areka-actor/tests/toy_worker_test.rs","areka-actor","tests","258","0","258","0","0","0","0","0","","",""
"crates/areka-emo-atlas/src/bake.rs","areka-emo-atlas","src","388","250","138","1","0","0","0","0","tests:139-388(250)","",""
"crates/areka-emo-atlas/src/decode.rs","areka-emo-atlas","src","230","96","134","1","0","0","0","0","tests:135-230(96)","",""
"crates/areka-emo-atlas/src/decode/wic_arm.rs","areka-emo-atlas","src","259","113","146","1","0","0","0","0","tests:147-259(113)","",""
"crates/areka-emo-atlas/src/emo2_e2e.rs","areka-emo-atlas","src","352","0","352","0","0","0","0","0","","",""
"crates/areka-emo-atlas/src/emo2_golden.rs","areka-emo-atlas","src","238","0","238","0","0","0","0","0","","",""
"crates/areka-emo-atlas/src/error.rs","areka-emo-atlas","src","62","0","62","0","0","0","0","0","","",""
"crates/areka-emo-atlas/src/lib.rs","areka-emo-atlas","src","559","349","210","1","3","0","0","0","bake_entry_tests:211-559(349)","emo2_e2e@199|emo2_golden@203|log_capture@208",""
"crates/areka-emo-atlas/src/log_capture.rs","areka-emo-atlas","src","104","37","67","1","0","0","0","0","tests:68-104(37)","",""
"crates/areka-emo-atlas/src/manifest.rs","areka-emo-atlas","src","340","212","128","1","0","0","0","0","tests:129-340(212)","",""
"crates/areka-emo-atlas/src/normalize.rs","areka-emo-atlas","src","303","137","166","1","0","0","0","0","tests:167-303(137)","",""
"crates/areka-emo-atlas/src/pack.rs","areka-emo-atlas","src","440","224","216","1","0","0","0","0","tests:217-440(224)","",""
"crates/areka-emo-atlas/src/table.rs","areka-emo-atlas","src","303","118","185","1","0","0","0","0","tests:186-303(118)","",""
"crates/areka-emo-atlas/src/trim.rs","areka-emo-atlas","src","376","244","132","1","0","0","0","0","tests:133-376(244)","",""
"crates/areka-emo-atlas/tests/atlas.rs","areka-emo-atlas","tests","10","0","10","0","0","0","0","0","","",""
"crates/areka-emo-compose/src/atlas_bind.rs","areka-emo-compose","src","281","226","55","1","0","0","0","0","tests:56-281(226)","",""
"crates/areka-emo-compose/src/bind.rs","areka-emo-compose","src","67","28","39","1","0","0","0","0","tests:40-67(28)","",""
"crates/areka-emo-compose/src/blit.rs","areka-emo-compose","src","561","397","164","1","0","0","0","0","tests:165-561(397)","",""
"crates/areka-emo-compose/src/composed.rs","areka-emo-compose","src","123","31","92","1","0","0","0","0","tests:93-123(31)","",""
"crates/areka-emo-compose/src/composer_tests.rs","areka-emo-compose","src","703","0","703","0","0","0","0","0","","",""
