old_fqn,new_fqn,reason
drive::tests::compile_broadcast_stream_preserves_order_and_choices_also_land_in_bag,drive::delivery_tests::compile_broadcast_stream_preserves_order_and_choices_also_land_in_bag,theme_split
drive::tests::dropped_done_receiver_at_terminal_exits_cleanly_without_panic,drive::lifecycle_tests::dropped_done_receiver_at_terminal_exits_cleanly_without_panic,theme_split
drive::tests::duplicate_and_backward_tick_do_not_double_fire,drive::delivery_tests::duplicate_and_backward_tick_do_not_double_fire,theme_split
drive::tests::duplicate_start_is_ignored_and_first_talk_plays_unchanged,drive::lifecycle_tests::duplicate_start_is_ignored_and_first_talk_plays_unchanged,theme_split
drive::tests::empty_script_talk_returns_talkdone_immediately_without_tick,drive::lifecycle_tests::empty_script_talk_returns_talkdone_immediately_without_tick,theme_split
drive::tests::fixture_script_drives_broadcast_and_returns_ended,drive::delivery_tests::fixture_script_drives_broadcast_and_returns_ended,theme_split
drive::tests::full_menu_via_spawn_talk_barrier_stops_and_middle_choice_id_settles_immediately,drive::choice_tests::full_menu_via_spawn_talk_barrier_stops_and_middle_choice_id_settles_immediately,theme_split
drive::tests::ignored_tags_only_script_ends_immediately_with_ended_and_no_firing,drive::lifecycle_tests::ignored_tags_only_script_ends_immediately_with_ended_and_no_firing,theme_split
drive::tests::menu_barrier_withholds_talkdone_while_choice_unresolved,drive::choice_tests::menu_barrier_withholds_talkdone_while_choice_unresolved,theme_split
drive::tests::mid_playback_close_returns_interrupted_once_and_drops_unfired_cues,drive::lifecycle_tests::mid_playback_close_returns_interrupted_once_and_drops_unfired_cues,theme_split
drive::tests::multiple_talks_echo_own_talk_id_without_cross_talk_mixing,drive::lifecycle_tests::multiple_talks_echo_own_talk_id_without_cross_talk_mixing,theme_split
drive::tests::non_finite_tick_is_ignored_and_playback_survives,drive::delivery_tests::non_finite_tick_is_ignored_and_playback_survives,theme_split
drive::tests::quit_only_script_ends_immediately_with_quit_not_ended,drive::lifecycle_tests::quit_only_script_ends_immediately_with_quit_not_ended,theme_split
drive::tests::resolve_choice_before_playback_armed_is_ignored_and_playback_survives,drive::choice_tests::resolve_choice_before_playback_armed_is_ignored_and_playback_survives,theme_split
drive::tests::resolve_choice_resumes_barrier_stopped_talk_and_settles_immediately,drive::choice_tests::resolve_choice_resumes_barrier_stopped_talk_and_settles_immediately,theme_split
drive::tests::resolve_choice_with_unknown_id_is_noop_and_talk_continues,drive::choice_tests::resolve_choice_with_unknown_id_is_noop_and_talk_continues,theme_split
drive::tests::same_at_cues_preserve_script_order_fifo,drive::delivery_tests::same_at_cues_preserve_script_order_fifo,theme_split
drive::tests::same_fixture_and_tick_sequence_produces_identical_observation_each_run,drive::delivery_tests::same_fixture_and_tick_sequence_produces_identical_observation_each_run,theme_split
drive::tests::same_sheet_started_at_different_times_delivers_cue_at_different_absolute_fire_times,drive::delivery_tests::same_sheet_started_at_different_times_delivers_cue_at_different_absolute_fire_times,theme_split
drive::tests::script_without_choices_never_notifies_choice_waiting,drive::choice_tests::script_without_choices_never_notifies_choice_waiting,theme_split
drive::tests::talkdone_reason_is_compiled_end_while_firing_time_is_horizon_derived,drive::lifecycle_tests::talkdone_reason_is_compiled_end_while_firing_time_is_horizon_derived,theme_split
drive::tests::talkdone_withheld_while_ticks_stop_below_horizon_then_fires_on_resume,drive::lifecycle_tests::talkdone_withheld_while_ticks_stop_below_horizon_then_fires_on_resume,theme_split
drive::tests::trailing_final_text_talkdone_fires_after_text_duration_not_at_delivery,drive::lifecycle_tests::trailing_final_text_talkdone_fires_after_text_duration_not_at_delivery,theme_split
drive::tests::trailing_wait_talkdone_fires_at_horizon_not_at_cue_exhaustion,drive::lifecycle_tests::trailing_wait_talkdone_fires_at_horizon_not_at_cue_exhaustion,theme_split
drive::tests::undue_cues_are_withheld_until_their_at_is_reached,drive::delivery_tests::undue_cues_are_withheld_until_their_at_is_reached,theme_split
drive::tests::unknown_command_names_broadcast_and_benign_skip_then_talk_completes,drive::delivery_tests::unknown_command_names_broadcast_and_benign_skip_then_talk_completes,theme_split
