old_fqn,new_fqn,reason
placement::resolver::tests::t_r1_missing_scope_config_defaults_to_bottom_flush,placement::resolver::resolve_tests::t_r1_missing_scope_config_defaults_to_bottom_flush,theme_split
placement::resolver::tests::t_r2_chain_defaultx_offsets_leftward_from_base,placement::resolver::resolve_tests::t_r2_chain_defaultx_offsets_leftward_from_base,theme_split
placement::resolver::tests::t_r2_scope_chain_defaultx_zero_stays_adjacent,placement::resolver::resolve_tests::t_r2_scope_chain_defaultx_zero_stays_adjacent,theme_split
placement::resolver::tests::t_r3_default_y_ignored_under_bottom,placement::resolver::resolve_tests::t_r3_default_y_ignored_under_bottom,theme_split
placement::resolver::tests::t_r4_free_applies_default_left_top_from_work_area_origin,placement::resolver::resolve_tests::t_r4_free_applies_default_left_top_from_work_area_origin,theme_split
placement::resolver::tests::t_r4_free_both_unspecified_equals_bottom,placement::resolver::resolve_tests::t_r4_free_both_unspecified_equals_bottom,theme_split
placement::resolver::tests::t_r4_free_is_clamped_into_work_area,placement::resolver::resolve_tests::t_r4_free_is_clamped_into_work_area,theme_split
placement::resolver::tests::t_r4_free_position_feeds_scope_chain,placement::resolver::resolve_tests::t_r4_free_position_feeds_scope_chain,theme_split
placement::resolver::tests::t_r4_free_unspecified_x_falls_back_to_bottom_chain,placement::resolver::resolve_tests::t_r4_free_unspecified_x_falls_back_to_bottom_chain,theme_split
placement::resolver::tests::t_r4_free_unspecified_y_falls_back_to_bottom,placement::resolver::resolve_tests::t_r4_free_unspecified_y_falls_back_to_bottom,theme_split
placement::resolver::tests::t_r5_seam_output_identical_to_bottom,placement::resolver::resolve_tests::t_r5_seam_output_identical_to_bottom,theme_split
placement::resolver::tests::t_r6_chain_uses_clamped_previous_position,placement::resolver::resolve_tests::t_r6_chain_uses_clamped_previous_position,theme_split
placement::resolver::tests::t_r6_negative_defaultx_clamps_to_right_edge,placement::resolver::resolve_tests::t_r6_negative_defaultx_clamps_to_right_edge,theme_split
placement::resolver::tests::t_r6_oversized_defaultx_clamps_to_left_edge,placement::resolver::resolve_tests::t_r6_oversized_defaultx_clamps_to_left_edge,theme_split
placement::resolver::tests::t_r6_oversized_surface_pins_to_top_left,placement::resolver::resolve_tests::t_r6_oversized_surface_pins_to_top_left,theme_split
placement::resolver::tests::t_r7_union_empty_input_is_none,placement::resolver::union_tests::t_r7_union_empty_input_is_none,theme_split
placement::resolver::tests::t_r7_union_single_monitor_is_identity,placement::resolver::union_tests::t_r7_union_single_monitor_is_identity,theme_split
placement::resolver::tests::t_r7_union_spans_monitors_including_negative_coords,placement::resolver::union_tests::t_r7_union_spans_monitors_including_negative_coords,theme_split
placement::resolver::tests::t_r8_balloon_left_places_left_of_char,placement::resolver::resolve_tests::t_r8_balloon_left_places_left_of_char,theme_split
placement::resolver::tests::t_r8_balloon_never_clamped_even_outside_work_area,placement::resolver::resolve_tests::t_r8_balloon_never_clamped_even_outside_work_area,theme_split
placement::resolver::tests::t_r8_balloon_offsetx_offsety_added,placement::resolver::resolve_tests::t_r8_balloon_offsetx_offsety_added,theme_split
placement::resolver::tests::t_r8_balloon_right_places_right_of_char_without_clamp,placement::resolver::resolve_tests::t_r8_balloon_right_places_right_of_char_without_clamp,theme_split
placement::spawn::tests::anchored_attached_to_all_char_windows_with_resolved_anchor,placement::spawn::assembly_tests::anchored_attached_to_all_char_windows_with_resolved_anchor,theme_split
placement::spawn::tests::external_authority_attached_to_every_ghost_window_of_every_scope,placement::spawn::assembly_tests::external_authority_attached_to_every_ghost_window_of_every_scope,theme_split
placement::spawn::tests::t_i1_all_windows_have_hit_test_none_and_char_has_pointer_handlers,placement::spawn::assembly_tests::t_i1_all_windows_have_hit_test_none_and_char_has_pointer_handlers,theme_split
placement::spawn::tests::t_i1_char_window_has_follow_and_on_drag_balloon_has_on_drag_only,placement::spawn::assembly_tests::t_i1_char_window_has_follow_and_on_drag_balloon_has_on_drag_only,theme_split
placement::spawn::tests::t_i1_ghost_windows_resource_matches_return_value,placement::spawn::assembly_tests::t_i1_ghost_windows_resource_matches_return_value,theme_split
placement::spawn::tests::t_i1_spawn_assembles_four_windows_with_markers_and_ghost_windows,placement::spawn::assembly_tests::t_i1_spawn_assembles_four_windows_with_markers_and_ghost_windows,theme_split
placement::spawn::tests::t_i1_window_titles_come_from_ghost_titles,placement::spawn::assembly_tests::t_i1_window_titles_come_from_ghost_titles,theme_split
placement::spawn::tests::t_i2_no_window_has_ws_ex_topmost,placement::spawn::assembly_tests::t_i2_no_window_has_ws_ex_topmost,theme_split
placement::spawn::tests::t_i3_no_box_style_no_drag_constraint_and_move_window_contract,placement::spawn::assembly_tests::t_i3_no_box_style_no_drag_constraint_and_move_window_contract,theme_split
placement::spawn::tests::t_i4_char_move_follows_adjusted_offset_after_balloon_solo_drag,placement::spawn::follow_pipeline_tests::t_i4_char_move_follows_adjusted_offset_after_balloon_solo_drag,theme_split
placement::spawn::tests::t_i4_follow_offset_matches_resolver_output_through_real_pipeline,placement::spawn::follow_pipeline_tests::t_i4_follow_offset_matches_resolver_output_through_real_pipeline,theme_split
placement::spawn::tests::t_i4_move_window_to_keeps_balloon_offset_across_multiple_moves,placement::spawn::follow_pipeline_tests::t_i4_move_window_to_keeps_balloon_offset_across_multiple_moves,theme_split
placement::spawn::tests::t_i4_real_register_system_is_noop_without_registry_resource,placement::spawn::clickthrough_tests::t_i4_real_register_system_is_noop_without_registry_resource,theme_split
placement::spawn::tests::t_i4_register_system_ignores_non_ghost_windows,placement::spawn::clickthrough_tests::t_i4_register_system_ignores_non_ghost_windows,theme_split
placement::spawn::tests::t_i4_register_system_registers_ghost_windows_on_added_window_handle_once,placement::spawn::clickthrough_tests::t_i4_register_system_registers_ghost_windows_on_added_window_handle_once,theme_split
