old_fqn,new_fqn,reason
shell::decode_tests::overlay_pattern_method_is_transcribed_verbatim,shell::decode_tests::pattern_method_tests::overlay_pattern_method_is_transcribed_verbatim,theme_split
shell::decode_tests::short_collision_line_defaults_missing_fields,shell::decode_tests::lenient_input_tests::short_collision_line_defaults_missing_fields,theme_split
shell::decode_tests::single_element_overlay_is_normalized,shell::decode_tests::element_collision_tests::single_element_overlay_is_normalized,theme_split
shell::decode_tests::sparse_pattern_indices_are_preserved_not_synthesized,shell::decode_tests::animation_tests::sparse_pattern_indices_are_preserved_not_synthesized,theme_split
shell::decode_tests::subset_out_fragment_between_recognizable_blocks_does_not_break_neighbors,shell::decode_tests::lenient_input_tests::subset_out_fragment_between_recognizable_blocks_does_not_break_neighbors,theme_split
shell::decode_tests::surface_large_id_is_extracted,shell::decode_tests::skeleton_tests::surface_large_id_is_extracted,theme_split
shell::decode_tests::surface_mixing_elements_collisions_and_animation,shell::decode_tests::element_collision_tests::surface_mixing_elements_collisions_and_animation,theme_split
shell::decode_tests::surface_zero_block_extracts_id_zero,shell::decode_tests::skeleton_tests::surface_zero_block_extracts_id_zero,theme_split
shell::decode_tests::top_level_sort_keys_are_transcribed_and_unknown_is_none,shell::decode_tests::transcription_gap_tests::top_level_sort_keys_are_transcribed_and_unknown_is_none,theme_split
shell::decode_tests::unknown_interval_only_line_is_transcribed_as_other,shell::decode_tests::lenient_input_tests::unknown_interval_only_line_is_transcribed_as_other,theme_split
shell::decode_tests::unknown_method_token_is_transcribed_verbatim_not_dropped,shell::decode_tests::method_matrix_tests::unknown_method_token_is_transcribed_verbatim_not_dropped,theme_split
shell::decode_tests::unrecognized_interval_becomes_other_and_neighbor_survives,shell::decode_tests::lenient_input_tests::unrecognized_interval_becomes_other_and_neighbor_survives,theme_split
shell::decode_tests::unrecognized_interval_keyword_becomes_other_not_bind,shell::decode_tests::pattern_method_tests::unrecognized_interval_keyword_becomes_other_not_bind,theme_split
